STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sector,Sector,cofog99,Classification of the functions of government (COFOG 1999),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,TOTAL,Total,D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,EE,Estonia,2015,,13.5,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,TOTAL,Total,D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,EE,Estonia,2016,,13.8,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,TOTAL,Total,D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,EE,Estonia,2017,,13.5,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,TOTAL,Total,D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,EE,Estonia,2018,,13.8,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,TOTAL,Total,D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,EE,Estonia,2019,,13.9,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,TOTAL,Total,D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,EE,Estonia,2020,,15.9,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,TOTAL,Total,D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,EL,Greece,1995,,13.2,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,TOTAL,Total,D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,EL,Greece,1996,,13.3,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,TOTAL,Total,D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,EL,Greece,1997,,13.4,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,TOTAL,Total,D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,EL,Greece,1998,,13.8,,,,,
