"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"IMF.RES:WEO(6.0.0)","AFG.NGDPD.A","OBS_VALUE","Afghanistan, Islamic Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","","","","","","","","4.367","4.553","5.146","6.167","6.925","8.556","10.297","12.066","15.325","17.89","20.293","20.17","20.616","20.057","18.02","18.883","18.336","18.876","20.136"
"IMF.RES:WEO(6.0.0)","ALB.NGDPD.A","OBS_VALUE","Albania","Gross domestic product (GDP), Current prices, US dollar","Annual","2.882","3.2","2.225","2.555","3.226","3.488","3.927","4.356","5.561","7.177","8.052","8.896","10.677","12.881","12.044","11.937","12.899","12.324","12.784","13.246","11.389","11.862","13.053","15.157","15.399","15.192"
"IMF.RES:WEO(6.0.0)","DZA.NGDPD.A","OBS_VALUE","Algeria","Gross domestic product (GDP), Current prices, US dollar","Annual","45.654","50.945","52.287","52.297","53.011","59.418","59.413","61.516","73.482","91.914","107.047","123.084","142.483","180.384","150.317","177.785","218.332","227.144","229.701","238.943","187.494","180.764","190.004","194.507","193.361","164.774"
"IMF.RES:WEO(6.0.0)","ARG.NGDPD.A","OBS_VALUE","Argentina","Gross domestic product (GDP), Current prices, US dollar","Annual","288.497","304.282","327.436","334.244","316.998","317.759","300.421","112.458","142.431","164.911","199.273","232.892","287.921","363.545","334.633","424.729","527.644","579.666","611.471","563.614","642.464","556.774","643.861","524.431","446.762","385.218"
"IMF.RES:WEO(6.0.0)","ATG.NGDPD.A","OBS_VALUE","Antigua and Barbuda","Gross domestic product (GDP), Current prices, US dollar","Annual","0.616","0.679","0.734","0.79","0.836","0.901","0.878","0.898","0.948","1.026","1.144","1.304","1.487","1.558","1.386","1.298","1.287","1.365","1.325","1.379","1.438","1.49","1.531","1.662","1.725","1.411"
"IMF.RES:WEO(6.0.0)","AGO.NGDPD.A","OBS_VALUE","Angola","Gross domestic product (GDP), Current prices, US dollar","Annual","8.148","10.51","12.344","10.464","9.895","12.646","12.378","17.312","20.342","26.998","41.397","58.654","73.038","98.79","81.705","95.547","125.552","143.573","153.761","164.448","131.661","114.764","139.835","114.189","94.671","66.521"
"IMF.RES:WEO(6.0.0)","AND.NGDPD.A","OBS_VALUE","Andorra, Principality of","Gross domestic product (GDP), Current prices, US dollar","Annual","","","","","","1.429","1.547","1.758","2.362","2.896","3.158","3.456","3.952","4.082","3.675","3.446","3.625","3.189","3.193","3.267","2.789","2.895","2.993","3.217","3.155","2.885"
"IMF.RES:WEO(6.0.0)","AUT.NGDPD.A","OBS_VALUE","Austria","Gross domestic product (GDP), Current prices, US dollar","Annual","241.234","237.343","213.045","218.557","217.475","197.377","197.51","214.243","262.208","301.321","316.267","336.298","389.231","432.005","401.323","392.595","431.609","409.661","430.197","442.699","382.01","395.728","417.114","455.198","444.645","434.701"
"IMF.RES:WEO(6.0.0)","BGD.NGDPD.A","OBS_VALUE","Bangladesh","Gross domestic product (GDP), Current prices, US dollar","Annual","51.842","55.445","57.599","59.879","61.526","61.687","62.537","65.036","71.755","77.152","79.53","86.028","95.374","109.765","122.76","138.094","154.097","159.749","179.676","207.102","233.687","265.236","293.755","321.379","351.238","373.902"
"IMF.RES:WEO(6.0.0)","ARM.NGDPD.A","OBS_VALUE","Armenia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","1.287","1.597","1.639","1.892","1.845","1.912","2.118","2.376","2.807","3.577","4.9","6.384","9.206","11.662","8.648","9.26","10.142","10.619","11.121","11.61","10.553","10.546","11.527","12.458","13.619","12.642"
"IMF.RES:WEO(6.0.0)","ABW.NGDPD.A","OBS_VALUE","Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Current prices, US dollar","Annual","1.321","1.38","1.532","1.665","1.723","1.873","1.896","1.962","2.044","2.255","2.36","2.47","2.678","2.843","2.554","2.454","2.638","2.615","2.728","2.791","2.963","2.984","3.092","3.276","3.396","2.559"
"IMF.RES:WEO(6.0.0)","BHS.NGDPD.A","OBS_VALUE","Bahamas, The","Gross domestic product (GDP), Current prices, US dollar","Annual","5.653","5.95","6.332","6.833","7.684","8.076","8.318","8.881","8.87","9.055","9.836","10.167","10.618","10.526","9.982","10.096","10.07","10.72","10.396","10.974","11.672","11.745","12.237","12.616","13.016","9.958"
"IMF.RES:WEO(6.0.0)","AZE.NGDPD.A","OBS_VALUE","Azerbaijan, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","2.417","3.177","4.317","4.28","4.581","5.273","5.475","6.232","7.276","8.682","13.239","20.983","33.05","48.852","44.297","52.909","65.952","69.684","74.164","75.235","52.997","37.83","41.375","47.113","48.174","42.693"
"IMF.RES:WEO(6.0.0)","BHR.NGDPD.A","OBS_VALUE","Bahrain, Kingdom of","Gross domestic product (GDP), Current prices, US dollar","Annual","7.075","7.357","7.629","7.293","7.905","9.448","9.579","10.001","11.546","13.709","16.647","19.291","22.653","26.803","23.913","26.806","29.915","31.963","33.823","34.773","32.523","33.885","37.205","39.568","40.447","35.838"
"IMF.RES:WEO(6.0.0)","AUS.NGDPD.A","OBS_VALUE","Australia","Gross domestic product (GDP), Current prices, US dollar","Annual","379.172","424.744","426.342","381.483","411.976","400.303","378.077","425.477","541.191","658.776","736.434","783.451","950.092","1056.574","1000.837","1254.689","1515.589","1570.323","1520.13","1457.357","1234.457","1263.667","1382.668","1419.28","1388.092","1364.828"
"IMF.RES:WEO(6.0.0)","BLR.NGDPD.A","OBS_VALUE","Belarus, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","10.532","14.494","14.091","15.215","12.133","10.785","12.778","15.092","18.42","23.928","31.239","38.219","46.815","62.798","50.855","57.22","61.368","65.669","75.496","78.736","56.329","47.703","54.723","60.011","64.414","61.312"
"IMF.RES:WEO(6.0.0)","BEN.NGDPD.A","OBS_VALUE","Benin","Gross domestic product (GDP), Current prices, US dollar","Annual","2.993","3.251","3.124","3.362","3.681","3.522","3.666","4.191","5.348","6.187","6.571","7.034","8.17","9.787","9.728","9.543","10.691","11.148","12.518","13.288","11.389","11.818","12.697","14.257","14.392","15.674"
"IMF.RES:WEO(6.0.0)","BLZ.NGDPD.A","OBS_VALUE","Belize","Gross domestic product (GDP), Current prices, US dollar","Annual","0.796","0.828","0.845","0.892","0.95","1.082","1.129","1.199","1.267","1.356","1.427","1.584","1.699","1.732","1.681","1.739","1.819","1.9","2.022","2.125","2.195","2.241","2.267","2.293","2.387","2.048"
"IMF.RES:WEO(6.0.0)","BRB.NGDPD.A","OBS_VALUE","Barbados","Gross domestic product (GDP), Current prices, US dollar","Annual","2.348","2.515","2.667","3.057","3.21","3.312","3.306","3.364","3.479","3.754","4.213","4.702","5.273","5.401","5.064","5.138","5.302","5.233","5.338","5.366","5.288","5.331","5.517","5.63","5.788","5.168"
"IMF.RES:WEO(6.0.0)","BEL.NGDPD.A","OBS_VALUE","Belgium","Gross domestic product (GDP), Current prices, US dollar","Annual","288.301","279.292","253.022","258.876","258.5","236.897","236.748","258.2","318.004","369.047","385.927","408.281","470.978","517.27","482.73","481.814","523.239","496.467","521.799","535.529","462.383","475.931","502.587","543.546","535.925","525.6"
"IMF.RES:WEO(6.0.0)","BIH.NGDPD.A","OBS_VALUE","Bosnia and Herzegovina","Gross domestic product (GDP), Current prices, US dollar","Annual","","3.584","4.578","5.281","5.766","5.554","5.784","6.711","8.477","10.157","10.935","12.46","15.323","18.712","17.601","17.164","18.629","17.207","18.155","18.522","16.404","17.117","18.326","20.484","20.483","20.226"
"IMF.RES:WEO(6.0.0)","BOL.NGDPD.A","OBS_VALUE","Bolivia","Gross domestic product (GDP), Current prices, US dollar","Annual","6.707","7.385","7.919","8.49","8.269","8.385","8.155","7.917","8.092","8.785","9.573","11.52","13.216","16.792","17.464","19.786","24.135","27.282","30.883","33.237","33.241","34.189","37.782","40.581","41.193","36.897"
