variable,year,value
ATGR_imigy,2008,0.000004
ATGR_imigy,2009,0.000003
ATGR_imigy,2010,0.000004
ATGR_imigy,2011,0.000005
ATGR_imigy,2012,0.000004
ATGR_imigy,2013,0.000005
ATGR_imigy,2014,0.000005
ATGR_imigy,2015,0.000005
ATGR_imigy,2016,0.000004
ATGR_imigy,2017,0.000004
ATGR_imigy,2018,0.000005
ATGR_imigy,2019,0.000005
ATGR_imigy,2020,0.000005
ATGR_imigy,average,0.000004
ATGR_imiy,1995,0.000091
ATGR_imiy,1996,0.000074
ATGR_imiy,1997,0.000089
ATGR_imiy,1998,0.000090
ATGR_imiy,1999,0.000094
ATGR_imiy,2000,0.000111
ATGR_imiy,2001,0.000099
ATGR_imiy,2002,0.000091
ATGR_imiy,2003,0.000095
ATGR_imiy,2004,0.000093
ATGR_imiy,2005,0.000114
ATGR_imiy,2006,0.000113
ATGR_imiy,2007,0.000128
ATGR_imiy,2008,0.000136
ATGR_imiy,2009,0.000096
ATGR_imiy,2010,0.000111
ATGR_imiy,2011,0.000150
ATGR_imiy,2012,0.000130
ATGR_imiy,2013,0.000138
ATGR_imiy,2014,0.000143
ATGR_imiy,2015,0.000139
ATGR_imiy,2016,0.000122
ATGR_imiy,2017,0.000129
ATGR_imiy,2018,0.000135
ATGR_imiy,2019,0.000128
ATGR_imiy,2020,0.000147
ATGR_imiy,average,0.000120
ATIT_imcgy,1995,0.001240
ATIT_imcgy,1996,0.001328
ATIT_imcgy,1997,0.001588
ATIT_imcgy,1998,0.001675
ATIT_imcgy,1999,0.001550
ATIT_imcgy,2000,0.001289
ATIT_imcgy,2001,0.001472
ATIT_imcgy,2002,0.001789
ATIT_imcgy,2003,0.001575
ATIT_imcgy,2004,0.001594
ATIT_imcgy,2005,0.001574
ATIT_imcgy,2006,0.001579
ATIT_imcgy,2007,0.001459
ATIT_imcgy,2008,0.001430
ATIT_imcgy,2009,0.001438
ATIT_imcgy,2010,0.001455
ATIT_imcgy,2011,0.001357
ATIT_imcgy,2012,0.001186
ATIT_imcgy,2013,0.001185
ATIT_imcgy,2014,0.001200
ATIT_imcgy,2015,0.001181
ATIT_imcgy,2016,0.001131
ATIT_imcgy,2017,0.001150
ATIT_imcgy,2018,0.001366
ATIT_imcgy,2019,0.001393
ATIT_imcgy,2020,0.001430
ATIT_imcgy,average,0.001384
ATIT_imcy,1995,0.018082
ATIT_imcy,1996,0.018557
ATIT_imcy,1997,0.019083
ATIT_imcy,1998,0.019694
ATIT_imcy,1999,0.018761
ATIT_imcy,2000,0.018557
ATIT_imcy,2001,0.019250
ATIT_imcy,2002,0.019442
ATIT_imcy,2003,0.019066
ATIT_imcy,2004,0.016806
ATIT_imcy,2005,0.015553
ATIT_imcy,2006,0.016051
ATIT_imcy,2007,0.014502
ATIT_imcy,2008,0.013837
ATIT_imcy,2009,0.013314
ATIT_imcy,2010,0.014043
ATIT_imcy,2011,0.013495
ATIT_imcy,2012,0.012607
ATIT_imcy,2013,0.012488
ATIT_imcy,2014,0.012431
ATIT_imcy,2015,0.012213
ATIT_imcy,2016,0.012075
ATIT_imcy,2017,0.012387
ATIT_imcy,2018,0.012627
ATIT_imcy,2019,0.012614
ATIT_imcy,2020,0.010314
ATIT_imcy,average,0.014537
ATIT_imigy,1995,0.000188
ATIT_imigy,1996,0.000203
ATIT_imigy,1997,0.000212
ATIT_imigy,1998,0.000216
ATIT_imigy,1999,0.000196
ATIT_imigy,2000,0.000190
ATIT_imigy,2001,0.000205
ATIT_imigy,2002,0.000209
ATIT_imigy,2003,0.000200
ATIT_imigy,2004,0.000202
ATIT_imigy,2005,0.000205
ATIT_imigy,2006,0.000207
ATIT_imigy,2007,0.000206
ATIT_imigy,2008,0.000217
ATIT_imigy,2009,0.000198
ATIT_imigy,2010,0.000200
ATIT_imigy,2011,0.000208
ATIT_imigy,2012,0.000196
ATIT_imigy,2013,0.000198
ATIT_imigy,2014,0.000202
ATIT_imigy,2015,0.000197
ATIT_imigy,2016,0.000199
ATIT_imigy,2017,0.000197
ATIT_imigy,2018,0.000226
ATIT_imigy,2019,0.000226
ATIT_imigy,2020,0.000224
ATIT_imigy,average,0.000209
ATIT_imiy,1995,0.007885
ATIT_imiy,1996,0.008269
ATIT_imiy,1997,0.008384
