imcy,,,,,,,,,,,,,,,,_imy,,,,,,,,,,,,,,,
,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,,,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,
imigy,,,,,,,,,,,,,,,,,0.9521,0.9087,0.9022,0.9378,0.8607,0.9002,0.861,0.9325,0.9183,0.9432,0.9038,0.9145,0.9539,0.9304,
,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,,,,,,,,,,,,,,,,,
EAA,,0.000517,0.000314,9.00E-05,0.000396,0.000137,4.90E-05,0.000251,0.000186,0.000119,5.40E-05,0.00023,3.60E-05,2.30E-05,,_imc,,,,,,,,,,,,,,,
EAB,0.000345,,0.000103,5.70E-05,0.000105,7.20E-05,7.00E-05,6.90E-05,0.000126,8.80E-05,4.80E-05,0.00034,3.60E-05,2.30E-05,,,EAA,EAB,EAC,EAD,EAE,EAF,EAG,EAH,EAI,EAJ,EAK,EAL,RW,US,
EAC,0.00025,0.000123,,9.70E-05,0.000164,0.000321,7.50E-05,0.000429,0.000116,0.000544,0.000119,0.000177,4.40E-05,2.80E-05,,EAA,,0.043980712,0.032111469,0.008410481,0.025619765,0.012944627,0.006474193,0.027364129,0.025600825,0.011673324,0.007221454,0.020854056,0.002245613,0.00164741,
EAD,0.000162,0.000177,0.000299,,0.000118,0.000398,9.80E-05,0.000216,0.000198,0.000173,0.001777,0.000189,0.000118,7.50E-05,,EAB,0.0333,,,,,,,,,,,,,,
EAE,0.000162,5.80E-05,5.00E-05,3.70E-05,,3.60E-05,1.70E-05,9.80E-05,2.40E-05,7.10E-05,2.40E-05,5.40E-05,2.20E-05,1.40E-05,,EAC,0.0362,,,,,,,,,,,,,,
EAF,0.000535,0.000282,0.001448,0.000664,0.000271,,0.00029,0.001669,0.000408,0.000368,0.000492,0.000471,0.000236,0.000151,,EAD,0.0205,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EAE,0.0103,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EAF,0.0499,,,,,,,,,,,,,,
EAG,1.70E-05,1.50E-05,1.40E-05,9.00E-06,7.00E-06,7.00E-06,,1.00E-05,1.90E-05,8.00E-06,7.00E-06,1.10E-05,1.90E-05,1.20E-05,,EAG,0.0045,,,,,,,,,,,,,,
EAH,0.000127,0.000144,0.000211,0.000157,0.000243,0.000155,3.40E-05,,0.000167,0.000312,0.000119,0.000186,2.80E-05,1.80E-05,,EAH,0.0094,,,,,,,,,,,,,,
EAI,0.000653,0.000605,0.000441,0.000446,0.000273,0.000463,0.000533,0.00041,,0.000188,0.000411,0.000344,0.000178,0.000114,,EAI,0.0602,,,,,,,,,,,,,,
EAJ,0.000155,0.000199,0.00113,0.000166,0.000281,0.000198,0.000134,0.000617,0.000177,,0.000224,0.000273,7.10E-05,4.60E-05,,EAJ,0.0223,,,,,,,,,,,,,,
