Variables ->,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,U2,U9,RA,RU
2019Y,395706.8,479446.0,61307.21432844364,23401.1,229362.85649402734,3537280.0,308504.92937486887,28472.059999999998,1253710.0,238518.0,2432207.0,185181.19999999998,54905.0,147308.89426981658,363752.0,1804068.0,49242.5,62415.0,29567.0007317613,14594.2,829767.0,538221.8721129941,214489.9,224770.13288750633,474182.78375698597,48156.5,94547.6,12139426.860731762,2282394.860731762,769052.9607317611,1983658.6832246429
2020Y,380317.9,463750.0,61911.52247383463,22374.0,220024.22849740158,3450720.0,311606.34984661336,27859.28,1129214.0,236387.0,2318276.0,167539.5,50749.0,138851.31569850448,381728.0,1670013.0,50252.5,64499.200000000004,29224.340383862,14362.5,816463.0,530920.2476282975,201032.80000000002,221129.924386643,476889.79193934635,46738.700000000004,94320.6,11615821.320383862,2231135.3203838617,782108.1203838612,1961333.3804706407
2021Y,406232.1,506047.0,71377.35181483066,25679.7,245852.28220210227,3682340.0,343135.57644748944,31453.309999999998,1235474.0,248764.0,2508102.0,184574.6,58347.0,154861.48446545325,448445.0,1842508.0,56668.100000000006,73039.5,32283.7795410439,16689.9,891550.0,582372.6055200036,216493.69999999998,242312.55663024832,533738.1803254433,52032.4,101933.5,12618657.589541044,2458683.589541044,896572.1895410446,2173650.037405571
2022Y,448007.4,563710.0,86081.11799082726,29377.300000000003,286400.7915751891,3989390.0,379659.6928418266,36300.93,1375863.0,266135.0,2653997.0,207854.19999999998,67617.0,169204.4199182391,520717.99999999994,1998073.0,67447.8,76731.2,36099.67433105,17974.8,993820.0,660165.8048895467,243957.1,281748.0702418455,545672.0253440345,56881.6,110046.5,13760001.504331049,2748858.5043310486,1019194.8043310479,2408931.9228015086
2023Y,473226.80000000005,596202.0,94707.87594013796,31340.0,319032.4692913422,4219310.0,374130.1431024393,38353.42,1497761.0,272874.0,2830204.0,225196.9,78061.0,197949.08556762995,524729.0,2131390.0,73803.5,82115.5,39372.4100764699,20911.2,1050133.0,751639.6667457187,267923.2,324383.8699677881,535319.3022519358,64050.0,123833.29999999999,14640790.23007647,2911992.2300764695,1076569.3300764682,2597162.412866992
2024Y,484222.89999999997,613985.0,103721.42824274105,33567.700000000004,320717.70702266233,4328970.0,392332.10496744444,39847.75,1594330.0,275963.0,2921204.0,237573.4,85617.6403059444,206145.1018991654,562794.0,2192181.0,78412.9,86180.3,40208.38807759249,23071.100000000002,1122459.0,845200.2879648124,285180.60000000003,353821.0911430065,557934.171612148,67418.09999999999,130985.2,15204171.978383534,3045027.9783835337,1148103.0783835328,2779871.8928519804
2025Y,501489.151312975,634749.344513281,113252.77306996153,35361.8625961812,339413.66533174034,4438568.03070161,406899.04272724286,41400.1565996132,1674449.9019572,278628.12197481503,2976021.1431495,249674.47925757998,91984.85394719511,219343.58693871164,627481.9200888181,2251943.51615701,84347.1039077555,89099.7754690228,42388.386306236505,24562.8353480651,1169171.59283527,920385.4532243208,299177.9771417361,374050.7479250923,586356.986037827,70134.9687162696,136857.454713173,15717492.576693308,3207338.391892718,1243619.317692333,2959702.255254897
2026Y,517685.336779017,652184.577176369,121841.23382972517,36978.5624661672,357406.41353448253,4565265.06020991,428451.3393594736,43727.9623015702,1749469.1048930301,287490.69841855404,3049027.39265277,261189.548182745,96933.4220852508,231267.71623802587,642707.188616615,2314721.65312495,89666.91684862539,92328.32746513671,44767.2283054801,26079.099229932097,1210743.8291531298,951031.2877030681,312331.65495152696,381117.43706712354,609626.2117555186,73461.4174284864,143713.21802973803,16210472.198319003,3321245.158285211,1290363.3427769993,3080741.6394874174
2027Y,537481.0376298331,670378.7753174311,129784.4755395517,38732.07483754271,372337.1122963992,4723517.11319376,448044.32899895945,46060.6165544483,1829417.96155808,297492.070742591,3145006.74006138,272066.882605738,101710.23073949401,244071.26988421538,669244.3655471441,2374423.8552105,93800.35744781911,96357.3525577437,47344.7353551002,27670.837086500702,1255325.08192454,1008738.1078260669,324057.581835052,389683.13066035183,636127.782105483,76948.6928824318,150850.995655436,16777887.358742565,3450196.606794306,1348720.258663661,3228786.2073110277
2028Y,555979.895510899,690180.199324756,137492.54197125084,40757.4449900026,387636.5128543373,4883084.39800395,466811.3252042291,48282.376712647696,1900707.698068,307071.12331726396,3246726.3899777406,282193.829734591,106604.759963977,256946.5714947088,697809.565208832,2438469.54971084,98388.79284784499,100570.599117018,49791.6841546485,29357.245544100897,1298163.5926293703,1070122.4857447352,336254.29405173904,401210.330153873,662679.6068653077,80558.093637594,158115.387387868,17349066.919893686,3581915.2915037842,1410235.9495645342,3382899.374288442
2029Y,573985.313084577,710103.691979998,144963.18908241225,42842.0507472593,402834.7097712164,5037798.09694679,485550.9771858546,50502.968108184,1974953.0470233,317574.86549973197,3350897.71408158,292431.176811185,111696.26989154899,270751.9738034361,727826.30732672,2505121.8282492,103299.559813246,104847.96801884599,52306.7198361596,31146.7027702305,1341993.80519461,1131421.9779304187,348922.956385814,421558.14719955216,689563.2944008382,84176.3057037809,164883.30114847797,17927310.64862124,3716546.157125759,1473528.153364454,3546644.2693737284
2030Y,590792.2306065711,732235.598393171,152825.99266158658,45009.3052178546,418728.62862985337,5184801.152468099,505081.8899450951,52753.4795201808,2051950.22999309,328954.04660151806,3456538.1194407595,302878.832792416,117016.564844869,285482.826173869,759416.1197878509,2573584.1014952096,108524.06597782,109346.53762524,54888.0638641835,33054.2276541879,1385977.41123619,1195229.6660150513,362177.428704759,443443.6307742952,717401.7534574235,87966.6878987275,171667.33719145498,18509531.54131415,3856680.526680802,1539642.3895823648,3718194.387657174
