PARAMETER VALUES EVOLUTION
==========================

                 steady0    steady1a    steady1b      steady2       steady3      steady4       steady6      steady7  
ATUS_rerbar      1          1.572       1.281         1.281         1.314        1.297         0.8607       0.8607   
AT_pibar         1          0.9806      0.9756        0.9756        0.9762       0.9756        0.9692       0.9692   
AT_psinbar       0          0.3398      0.2507        0.2507        0.2396       0.2679        0.2699       0.2699   
AT_psitbar       0          0.5613      0.4519        0.4519        0.433        0.4828        0.5154       0.5154   
AT_pybar         1          0.9732      0.9954        0.9954        0.9918       0.9956        1.028        1.028    
AT_qbar          1          0.9806      0.9756        0.9756        0.9762       0.9756        0.9692       0.9692   
AT_tybar         0.002      0.002       0.04521       0.04525       0.04523      0.04525       0.05843      0.05843  
AT_ybar          0.3265     4.02        3.32          3.321         3.179        3.548         3.789        3.789    
AT_ynbar         0.1633     1.214       0.8955        0.8955        0.8558       0.9569        0.964        0.964    
AT_ytbar         0.1633     2.806       2.425         2.425         2.324        2.591         2.825        2.825    
BE_alphan        0.1        0.3         0.3           0.3           0.3          0.3           0.3          0.3      
BE_alphat        0.1        0.3         0.3           0.3           0.3          0.3           0.3          0.3      
BE_beta          0.99       0.99        0.9926        0.9926        0.9926       0.9926        0.9926       0.9926   
BE_bfytarget     0          0           -0.15         -0.15         -0.15        -0.15         -7.931       -7.931   
BE_bhytarget     0          0           0             0             0            0             0            0        
BE_bytarget      0          0           4.233         4.233         4.233        4.233         4.233        4.233    
BE_chin          0          0.5         0.5           0.5           0.5          0.5           0.5          0.5      
BE_chih          0          0.5         0.5           0.5           0.5          0.5           0.5          0.5      
BE_chii          0          0.75        0.75          0.75          0.75         0.75          0.75         0.75     
BE_chij          0          0.75        0.75          0.75          0.75         0.75          0.75         0.75     
BE_chix          0          0.5         0.5           0.5           0.5          0.5           0.5          0.5      
BE_delta         0.025      0.025       0.025         0.025         0.025        0.025         0.025        0.025    
BE_gammab1       0.2        0.2         0.2           0.2           0.2          0.2           0.01         0.01     
BE_gammai1       1          1           1             1             1            1             6            6        
BE_gammaimc1     1          1           1             1             1            1             2            2        
BE_gammaimi1     1          1           1             1             1            1             1            1        
BE_gammaimcg1    1          1           1             1             1            1             2            2        
BE_gammaimig1    1          1           1             1             1            1             1            1        
BE_gammau2       1          1           1             1             1            1             2000         2000     
BE_gammav1       0.02       0.0267      0.0267        0.02871       0.02871      0.02871       0.02871      0.02871  
BE_gammav2       0.1        0.1284      0.1284        0.1503        0.1503       0.1503        0.1503       0.1503   
BE_kappa         0          0.7         0.7           0.7           0.7          0.7           0.7          0.7      
BE_muc           1.001      0.5         0.5           0.5           0.5          0.5           0.5          0.5      
BE_mumc          1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
BE_mutc          1.001      2.5         2.5           2.5           2.5          2.5           2.5          2.5      
